Sample_ID,Mouse_ID,Timepoint,Genotype,Grouped.genotype,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54
ACKGx397W11,ACKGx397,W11,ACK,ACK/G,3271,754,2955,75,9,21,170,0,3045,64,2610,280,455,28,33,100,17,2328,2087,3404,29,41,0,44,780,2278,165,37,94,0,1809,2674,1936,7,0,4,46,0,37,259,3504,261,12,651,0,0,13,0,21,1350,837,255,40,374
ACKGx415W11,ACKGx415,W11,ACK,ACK/G,3372,1544,1184,34,13,10,70,0,2069,19,617,41,1185,0,11,40,11,547,942,568,0,7,0,37,579,1303,91,22,51,0,1047,893,2501,0,0,15,0,0,0,136,687,0,0,418,10,9,26,0,12,641,132,8688,18,338
ACKGx416W11,ACKGx416,W11,ACKG,ACK/G,3199,5196,3242,85,48,72,308,220,8663,29,1840,189,835,33,27,21,50,1974,4321,7389,2,18,7,123,891,4714,457,115,241,0,2011,2410,1819,17,0,11,0,5,0,319,1259,0,0,1674,27,15,21,0,257,1843,145,33442,30,481
ACKGx419W11,ACKGx419,W11,ACKG,ACK/G,4098,1166,799,53,133,14,93,237,4010,70,559,50,1300,10,16,0,21,827,1473,21754,0,7,0,47,669,1332,110,51,54,0,667,614,3221,5,0,16,0,34,0,209,7834,0,0,757,5,0,34,0,1123,507,60,30649,6,36
ACKGx420W11,ACKGx420,W11,ACK,ACK/G,6605,5040,2641,267,3,71,445,8,5019,36,1951,174,3786,23,33,14,23,2818,4606,5420,0,15,0,106,1244,3673,204,173,207,0,1897,2373,4576,28,0,6,0,3,0,462,965,0,0,1626,40,21,47,0,100,1374,32,29179,34,145
ACKGx426W11,ACKGx426,W11,ACK,ACK/G,32,3194,4932,428,9,54,320,68,11252,53,1457,217,1480,18,32,6,82,1322,3652,1053,0,40,0,98,422,3011,683,73,81,10,1264,3859,3656,38,15,0,0,18,19,513,1037,0,0,1560,30,14,36,0,0,2065,254,12588,28,335
ACKGx433W11,ACKGx433,W11,ACK,ACK/G,13,7540,4150,71,478,9,167,13,3465,51,534,172,883,46,7,6,31,1486,2120,383,3,12,0,76,293,1449,113,0,29,0,761,3645,4833,10,0,0,4,6,0,83,803,0,0,519,300,68,8,0,0,1063,129,22704,70,428
ACKGx435W11,ACKGx435,W11,ACK,ACK/G,49,1570,3637,125,50,57,321,0,2935,56,1566,343,2268,38,17,280,36,3629,7519,1831,0,31,6,21,10,2305,240,320,241,0,1882,1301,837,22,0,0,61,36,0,395,1138,0,0,1275,78,22,15,0,0,1971,593,50,49,1660
ACKGx440W11,ACKGx440,W11,ACKG,ACK/G,13,5423,2381,25,219,19,85,0,8111,72,910,73,1593,0,9,162,42,1029,1356,131,6,18,0,16,52,2950,46,12,90,4,483,2498,320,16,0,0,13,0,0,405,1000,0,0,321,7,0,29,0,0,1182,469,2732,73,119
HACKGx182W11,HACKGx182,W11,HACK,HACK/G,897,3277,200,12,39,16,94,27,1906,33,213,20,385,6,0,0,2,53,398,9587,0,37,0,6,112,1181,279,14,12,0,59,1144,624,2,0,4,0,0,0,153,175,64,0,171,0,0,22,13,3,753,65,14333,15,17
HACKGx185W11,HACKGx185,W11,HACK,HACK/G,24607,6786,6227,62,0,47,99,7,6766,28,1706,97,7996,22,28,45,51,531,2750,954,75,50,4,84,818,4835,250,165,226,0,1626,4348,6390,40,0,40,0,0,0,1176,3042,1905,0,1533,16,0,160,0,2,2339,1423,9247,72,248
HACKGx251W11,HACKGx251,W11,HACK,HACK/G,6415,5305,4072,14,122,25,71,189,6019,139,658,87,2723,129,8,19,49,2253,2605,29533,9,19,0,74,2331,2829,742,59,98,0,1317,733,10436,0,0,31,0,0,8,419,451,418,0,1549,5,0,72,37,229,1699,517,14054,31,198
HACKGx271W11,HACKGx271,W11,HACK,HACK/G,10524,1807,3653,82,9,35,65,0,3609,102,574,169,2670,82,26,12,26,1434,4039,44008,0,3,0,73,7623,958,169,83,154,0,937,1481,4730,54,38,13,0,0,0,388,11196,0,0,2278,13,0,94,89,1053,448,49,3501,0,123
HACKGx282W11,HACKGx282,W11,HACKG,HACK/G,13213,3198,902,10,21,5,38,125,4959,42,909,48,1931,22,13,3,25,188,676,24091,43,12,0,16,5218,3450,173,4,44,0,189,1310,7743,4,0,18,0,73,4,153,18015,917,0,415,17,0,20,15,412,1877,161,37718,99,157
HACKGx306W11,HACKGx306,W11,HACK,HACK/G,16835,4112,5459,234,18,31,198,41,6649,114,2457,207,1526,88,18,101,59,1182,3405,31777,23,37,0,46,2312,6464,806,162,206,0,1763,3099,2777,43,0,67,0,95,2,633,2676,1156,0,1198,25,8,22,9,524,2561,544,390,18,887
